,shape2D_Elongation,shape2D_MajorAxisLength,shape2D_MaximumDiameter,shape2D_MeshSurface,shape2D_MinorAxisLength,shape2D_Perimeter,shape2D_PerimeterSurfaceRatio,shape2D_PixelSurface,shape2D_Sphericity,firstorder_10Percentile,firstorder_90Percentile,firstorder_Energy,firstorder_Entropy,firstorder_InterquartileRange,firstorder_Kurtosis,firstorder_Maximum,firstorder_MeanAbsoluteDeviation,firstorder_Mean,firstorder_Median,firstorder_Minimum,firstorder_Range,firstorder_RobustMeanAbsoluteDeviation,firstorder_RootMeanSquared,firstorder_TotalEnergy,firstorder_Uniformity,firstorder_Variance,glcm_Autocorrelation,glcm_ClusterProminence,glcm_ClusterTendency,glcm_Contrast,glcm_Correlation,glcm_DifferenceAverage,glcm_DifferenceEntropy,glcm_DifferenceVariance,glcm_Id,glcm_Idm,glcm_Idmn,glcm_Idn,glcm_Imc1,glcm_Imc2,glcm_InverseVariance,glcm_JointAverage,glcm_JointEnergy,glcm_JointEntropy,glcm_MCC,glcm_MaximumProbability,glcm_SumAverage,glcm_SumEntropy,glcm_SumSquares,glszm_GrayLevelNonUniformity,glszm_GrayLevelNonUniformityNormalized,glszm_GrayLevelVariance,glszm_HighGrayLevelZoneEmphasis,glszm_LargeAreaEmphasis,glszm_LargeAreaHighGrayLevelEmphasis,glszm_LargeAreaLowGrayLevelEmphasis,glszm_LowGrayLevelZoneEmphasis,glszm_SizeZoneNonUniformity,glszm_SizeZoneNonUniformityNormalized,glszm_SmallAreaEmphasis,glszm_SmallAreaHighGrayLevelEmphasis,glszm_SmallAreaLowGrayLevelEmphasis,glszm_ZoneEntropy,glszm_ZonePercentage,glszm_ZoneVariance,glrlm_GrayLevelNonUniformity,glrlm_GrayLevelNonUniformityNormalized,glrlm_GrayLevelVariance,glrlm_HighGrayLevelRunEmphasis,glrlm_LongRunEmphasis,glrlm_LongRunHighGrayLevelEmphasis,glrlm_LongRunLowGrayLevelEmphasis,glrlm_LowGrayLevelRunEmphasis,glrlm_RunEntropy,glrlm_RunLengthNonUniformity,glrlm_RunLengthNonUniformityNormalized,glrlm_RunPercentage,glrlm_RunVariance,glrlm_ShortRunEmphasis,glrlm_ShortRunHighGrayLevelEmphasis,glrlm_ShortRunLowGrayLevelEmphasis,ngtdm_Busyness,ngtdm_Coarseness,ngtdm_Complexity,ngtdm_Contrast,ngtdm_Strength,gldm_DependenceEntropy,gldm_DependenceNonUniformity,gldm_DependenceNonUniformityNormalized,gldm_DependenceVariance,gldm_GrayLevelNonUniformity,gldm_GrayLevelVariance,gldm_HighGrayLevelEmphasis,gldm_LargeDependenceEmphasis,gldm_LargeDependenceHighGrayLevelEmphasis,gldm_LargeDependenceLowGrayLevelEmphasis,gldm_LowGrayLevelEmphasis,gldm_SmallDependenceEmphasis,gldm_SmallDependenceHighGrayLevelEmphasis,gldm_SmallDependenceLowGrayLevelEmphasis
shape2D_Elongation,1.0,0.721032069263928,0.6150017698355973,0.3800956304459922,0.0493716139874591,0.5209247765012136,0.08670018258872246,0.38009638501759746,0.4822076388865753,0.07966092420902304,0.017806805921687357,0.3797787821970594,0.047348899591307704,0.08196871270608151,0.037166188758213765,0.09582083221909991,0.07817620955802042,0.022320115362352084,0.02736407455414659,0.1664888456054932,0.14317964219657506,0.07925854417526626,0.02228756160405549,0.3797787821970594,0.03337586328754421,0.02141588739143138,0.09238291658878345,0.012598941031717046,0.025188445256913994,0.17636844394418172,0.16964782407703777,0.16006988733979394,0.1350657050537523,0.17601351251764352,0.11963324718153036,0.10846709660058355,0.17502658091317505,0.15552012531983928,0.052358830989922354,0.14189523891836686,0.11263731352451865,0.10137021281927408,0.05534364170683068,0.07534418259665232,0.13401319003442363,0.022602027315138717,0.10305564209182373,0.03028664389512683,0.05337277910110089,0.3611416556379509,0.03823170316018951,0.06257629073326704,0.11125014718358317,0.0476534886170146,0.012033750864174764,0.05154203486865356,0.01675186856171174,0.38854473473265166,0.1295846301183267,0.11689953785456465,0.17051079579297054,0.021093092225939858,0.054242547822635497,0.11072325078952999,0.03451523254226231,0.3558817754274836,0.03447758397035324,0.05838797200965838,0.11025654201778172,0.08886856350524752,0.040713864798731854,0.06287602884878338,0.02465918023682177,0.0037064959796343955,0.38990145937023696,0.10891672369100155,0.10176196223003718,0.08561043310316306,0.10172572848492693,0.13009326928453058,0.013632077276198577,0.39407807456686267,0.2206002193331349,0.1631968868452428,0.14251762721238803,0.21841762938100476,0.07997069345335044,0.3895750124689752,0.14896813599154543,0.0881355194753583,0.3534830990478167,0.056907148391399945,0.11006464818419948,0.07700050438291543,0.03165869297976875,0.09134679294609961,0.027104731034747635,0.13967808033711562,0.1930057445294109,0.08288281851074526
shape2D_MajorAxisLength,0.721032069263928,1.0,0.9826170930322091,0.8745000247985482,0.6881958789800348,0.9417448760826859,0.5800243357701271,0.8745001644057812,0.5222599036367858,0.022630048650682966,0.3042340895228231,0.8745440925215141,0.0028701499040720557,0.37405509992892516,0.15222635892121564,0.41224510739929765,0.3810149589795471,0.2251080053185573,0.22196627204882374,0.3586432178479741,0.4683120321904486,0.3743538226294853,0.22525213369867944,0.8745440925215141,0.04059285171834345,0.29115424085560077,0.025224758640062742,0.1765819224791424,0.18662489829258636,0.47572385049745486,0.4643019004441512,0.45187949130474425,0.41536943709623403,0.47906275828880857,0.3880818273486241,0.3699948208043489,0.4737604071444688,0.4445192500983977,0.28953317175999455,0.3347627746532075,0.3739478094770271,0.014550576632911979,0.048444401341419384,0.17692120619942792,0.2982724631685796,0.019291181892646145,0.015786668242848016,0.17659700273797496,0.014952921342628926,0.8145407028662653,0.021597200605408436,0.03797406498722026,0.017771575284379986,0.2935248583988697,0.2512114861127005,0.2545049187030126,0.17333261648220114,0.8320882147326258,0.39666558511064887,0.37960835532284004,0.20949960027163642,0.2799701590872115,0.3044970697456454,0.3737833428586842,0.2754328395740271,0.8172934340202208,0.03605593823879336,0.023697170183330243,0.015369015232547596,0.34433085365395644,0.1532336550518812,0.014526429235884495,0.15467738770071382,0.14863867248360246,0.8731284057688105,0.37005373677552655,0.36092570994891626,0.3398928618531995,0.36070600741470665,0.07437289786242393,0.19126111364784795,0.8094472606907755,0.7055435937431042,0.3558339452207259,0.4586731238394789,0.6816076384177437,0.3660335715136044,0.8491925462044542,0.44996121609644185,0.3458449476029682,0.8167336969886954,0.01864039274658171,0.01473710153213588,0.3382938188634659,0.28534903533592987,0.33307499549757397,0.14842471267014123,0.4375235703482061,0.43353514730476217,0.4261819245302556
shape2D_MaximumDiameter,0.6150017698355973,0.9826170930322091,1.0,0.9229044292102201,0.7873303117384606,0.9700317410664143,0.6357627401679609,0.9229045285938084,0.5158163417606494,0.062265037152721504,0.3599240203276052,0.9231744861794502,0.021623222331655235,0.4172640395988562,0.13098621930000026,0.4745174093320907,0.42586035191734556,0.28115408491540234,0.27871643289639625,0.3807390382429486,0.5258065462368023,0.4181861488634039,0.2813144477578014,0.9231744861794502,0.015338952205565685,0.3425546096156872,0.031015919881958377,0.21059051885883817,0.20191314064898377,0.5325201014853029,0.49772808668778445,0.5128673041415471,0.4793114682063919,0.535769896942085,0.453335402804791,0.43574387368446443,0.5311457844981247,0.5062756896711387,0.3330471910155219,0.3547674051083906,0.4392793403305474,0.01435755493996659,0.08947834034612921,0.2327805728865972,0.34106576888449763,0.018356841867985755,0.015769887341359548,0.16645479088244966,0.023825787354171565,0.8584340339937293,0.005082792305207894,0.04900961428387639,0.016815081073221105,0.35913608178960005,0.3108193943456117,0.31402760168935745,0.1871229036494947,0.8566026275263515,0.459360034265757,0.44319191867582364,0.2421580052992151,0.309906724524783,0.33683570892051773,0.4381159277082662,0.3405475148245159,0.8684157604475199,0.010415676446863168,0.032834426282905664,0.014171084191681416,0.4096153978295736,0.18688248991407228,0.029986770527842214,0.16765468062717392,0.14939896925019433,0.9140890800911139,0.43437579730861475,0.42568980014406577,0.40537657445350345,0.4253678538057542,0.08417557809014478,0.21029286789535903,0.8343091406290412,0.7613244108445271,0.4036884528708912,0.5243849846616966,0.7294809636463382,0.3998130518596228,0.8789747940163432,0.5142528661779269,0.41351953317896667,0.8700902195694925,0.02708422525341304,0.01345686920660906,0.4065161618088808,0.3475490168442998,0.3977000622100094,0.16099660684433326,0.5022700917229878,0.4993404906021646,0.47607577159896347
shape2D_MeshSurface,0.3800956304459922,0.8745000247985482,0.9229044292102201,1.0,0.8937706866443096,0.9112573311192453,0.7440613786999537,0.9999999999944713,0.29116618118399223,0.05244943353290086,0.3511621981866329,0.9999861435573675,0.02023670494488425,0.40597210920612553,0.10803890423853724,0.47103791873060386,0.421659352806537,0.2709907710525886,0.26757803371417316,0.3893938303674765,0.5266777858505619,0.4091088198248194,0.2711597555323531,0.9999861435573675,0.018696544367550444,0.34569682576526245,0.021833043961188663,0.20170110112154338,0.1737026130942951,0.4921680733078979,0.4578539815128461,0.4770163159014998,0.44922083787262634,0.4954941724028053,0.4270107207913499,0.4118350850004297,0.49122566851052696,0.4716326512511682,0.3105843284195612,0.3069642320635275,0.41474554863131663,0.018199390304820127,0.06989132274960466,0.21734356819644296,0.2707552694511072,0.0009595856662483952,0.02019245550253931,0.15260131157162637,0.036591383564022424,0.9549969378798523,0.003471270861342495,0.05938232729639981,0.020773997201709818,0.3485199288697122,0.3008766074545006,0.3060812103224571,0.19154206137287982,0.9356675360974844,0.4333447352903882,0.42014624745606116,0.2338005624134591,0.3083413069604788,0.31932003546672866,0.41506889519346835,0.33207393489451015,0.9649999336470272,0.013365711602521053,0.04386848581814601,0.01844760539161089,0.3905572120763961,0.17439325008962572,0.01986210456387096,0.17176296019513068,0.1415693427451533,0.9926987590637502,0.41127745255595444,0.4039960701391622,0.38676103205354123,0.40383935713527536,0.08502521061264737,0.21258309961915609,0.9102177941308727,0.7695937928188877,0.347683091099396,0.5171697209030334,0.7473082341225383,0.3808307636408908,0.9598717502457886,0.4849971709843201,0.3946427517579,0.9664354742381704,0.03835925290108734,0.017792095034582393,0.3926464757038584,0.33365018810784064,0.38610847151952,0.16505741609347066,0.4789622233152343,0.4760359641968098,0.46406954448516596
shape2D_MinorAxisLength,0.0493716139874591,0.6881958789800348,0.7873303117384606,0.8937706866443096,1.0,0.8216155333998075,0.7919056393565461,0.8937703367045855,0.2339677614831822,0.08398028017422123,0.4462278908560112,0.8942922254719844,0.041784508198252954,0.5078383500676327,0.16225305204567259,0.5364677377662201,0.5218914830429289,0.35556741426059074,0.3562560784401926,0.4031572993153861,0.5831841163941517,0.510845597566593,0.3557993788969636,0.8942922254719844,0.07602326396853347,0.46478436155441094,0.09980754335551617,0.31548260993476596,0.2704845278772853,0.5340798939873752,0.5066528509721363,0.5238936123578077,0.5060440524586051,0.5390310667641589,0.4878582139749482,0.4768137430463724,0.5331594985059525,0.5196878477296036,0.4058285577243778,0.3319101947209564,0.4779618950168833,0.044502725811661904,0.048046268498545715,0.21743475588385766,0.3122862582768074,0.026243777938788366,0.04347421871584672,0.21714006254208681,0.047437266890850774,0.8147942468861864,0.054498809488025886,0.022378421133376125,0.05484669061320741,0.443920038133871,0.4093291050679035,0.3959359057363588,0.225354206763589,0.8018498353681518,0.48706800464539196,0.47905519432243193,0.1912740104674612,0.35818706686730084,0.4173929166464889,0.4783744691477764,0.43384458095894235,0.8316545332529599,0.07078025054967889,0.03968925993007604,0.057602768607322566,0.4650337193294224,0.2706689489662379,0.023280268928604846,0.20593164785830112,0.22842249448430668,0.8734473942027747,0.4763121827977971,0.47227098645529914,0.46271404950536293,0.47220026135202703,0.018893125095590366,0.2537737553850324,0.7659479806588211,0.8329378081647362,0.3838901821352492,0.5434879977086357,0.7974287053550833,0.4740515569922998,0.8318960211233462,0.5358666701337116,0.4683111480467185,0.835826627980686,0.04583110991059665,0.05845654188232932,0.4727584751010533,0.43289110269191255,0.4638405962399126,0.1991081484332055,0.5324637218554352,0.496699893814314,0.5281652326146394
shape2D_Perimeter,0.5209247765012136,0.9417448760826859,0.9700317410664143,0.9112573311192453,0.8216155333998075,1.0,0.5694444817652042,0.9112572719527984,0.6182552628585924,0.034659732830371506,0.4219974476042525,0.9119402344739644,0.031496372148807676,0.5137856436249604,0.15961619603513794,0.5189305350866499,0.5214439811973701,0.32041259250493,0.32225780409536325,0.4307949908381411,0.5809748619236362,0.5156818902910654,0.3206643294471116,0.9119402344739644,0.054880926345224845,0.4648323302070689,0.0860950346110207,0.3337352657891335,0.3026215066842475,0.5605461071079811,0.5345717032900744,0.551548538106953,0.5329585369607065,0.5645720261385109,0.514265715851063,0.5024803863382744,0.5600599142089768,0.5474611748035357,0.43340085494491,0.39939973154851277,0.5036595381861557,0.025988513716316265,0.09094056497504692,0.24575214982774146,0.3897731604706892,0.025253393007309662,0.024565885722287344,0.2204235075175114,0.06903783867495564,0.8105370329970244,0.03696540956680494,0.04266563777794467,0.034936335911843835,0.46077732911863634,0.42457162788493785,0.41522745721169957,0.17222724647674784,0.8138981480716956,0.5135008301718227,0.5036179721626481,0.22727770282593204,0.3110468956481449,0.42860909639777284,0.5029128830504265,0.44940703081267724,0.8276307653643379,0.05050874631770611,0.06050331996791541,0.03827770788183879,0.487048320844207,0.27011064968799964,0.07293558590038579,0.15590482220449728,0.2274807184802953,0.8900683144032427,0.500550389506951,0.4957594506643377,0.48480323999034025,0.4954908102200252,0.04373586838805063,0.2052264567526638,0.7858625282995063,0.7172382955775015,0.4508028028789293,0.5223336079726293,0.682370339302247,0.47967483975381453,0.8436347310104921,0.5545259420351831,0.4885226602058074,0.8319431461538682,0.06682949376428765,0.03922263018330454,0.48904320839209503,0.44781015681588227,0.48120150578365445,0.1499380204721382,0.5493261972312609,0.5305868399726,0.49560140567944655
shape2D_PerimeterSurfaceRatio,0.08670018258872246,0.5800243357701271,0.6357627401679609,0.7440613786999537,0.7919056393565461,0.5694444817652042,1.0,0.7440610892953082,0.22467669611116664,0.20582410450815153,0.40991609488743075,0.7442634696365332,0.08731570600640857,0.38856742961903934,0.23098190530323467,0.47625778309624406,0.4000680206985979,0.3664569084943571,0.3607425783600297,0.25311446879436156,0.4744566016584222,0.38856309784595805,0.36650917605372346,0.7442634696365332,0.1299013061811049,0.2775713976741258,0.13674887670562313,0.1554545820624128,0.18887775701584744,0.38330106810736303,0.4333059464675637,0.3592137897234841,0.3251840489951074,0.38808258911179067,0.2986213358853297,0.2819071416005718,0.38115697321140507,0.35213735363532433,0.2352623577530482,0.25162804666101674,0.2873171908353954,0.1091941715996681,0.05991222741129713,0.050370891853916855,0.16403036583862995,0.15793756681273724,0.10938130783183486,0.2356981126823389,0.02947370287054729,0.7045220093079112,0.10850706005971664,0.00902647834226915,0.10781518858844653,0.22066939453402326,0.20243171104348306,0.15999239526095604,0.29495455140390703,0.7365633889565724,0.31013814574645704,0.2966996482454338,0.03220626472159666,0.3731793481235661,0.304998449776524,0.2918644417756111,0.2040853730406534,0.699087724024658,0.12475784851234079,0.020584141349745937,0.10822795784431727,0.2665608532980246,0.19897840974105857,0.12568084296761045,0.27391805655568247,0.20143048152461068,0.7510432955428699,0.2903904685844473,0.2816080224303558,0.2613099286376702,0.2822636587549848,0.0692188556151202,0.3022452488547578,0.6939112713788792,0.8527174488841254,0.22158239606250207,0.38720354065138585,0.8267476152516661,0.37321576870597956,0.7500184569165368,0.37255776793715045,0.26562682836792834,0.696166121916184,0.02460450173659194,0.10837235467059832,0.2636068648877357,0.23814285525696102,0.23495565701642815,0.26718983621652104,0.36562027514622725,0.2821082617441813,0.46581441246895705
shape2D_PixelSurface,0.38009638501759746,0.8745001644057812,0.9229045285938084,0.9999999999944713,0.8937703367045855,0.9112572719527984,0.7440610892953082,1.0,0.2911661277136093,0.052448111408358956,0.3511611987461709,0.9999861382944051,0.020237338528216617,0.4059716957026994,0.10803862427441405,0.47103728380349996,0.4216589337253669,0.2709895554627051,0.26757680218567576,0.3893945442400869,0.526677587458527,0.4091084092421659,0.27115854039617115,0.9999861382944051,0.018695960722453882,0.34569657976973495,0.021832013055259038,0.2017005713212419,0.17370192416833713,0.4921676747969175,0.4578531623931213,0.477016063467496,0.44922071239561767,0.4954937605699486,0.4270106704700972,0.41183507378457423,0.491225291588217,0.47163243306604385,0.3105840343548439,0.3069634630343588,0.4147455399069141,0.018200354306496396,0.06989177849884641,0.2173440230781326,0.27075466941530896,0.0009600556016914779,0.020193420172593617,0.15260049763162675,0.03659193996268238,0.9549970842343237,0.0034718363509199748,0.0593828904243414,0.02077498383841412,0.3485199726559391,0.3008764529379645,0.3060813971305192,0.19154148174010535,0.9356674632376135,0.43334462335009377,0.42014618320935737,0.2338015623763245,0.30834073847411037,0.3193194995396181,0.4150688434259751,0.33207398730832793,0.9650001244866565,0.01336513252517837,0.04386907118254382,0.018448590384243325,0.3905572014652666,0.17439254716235222,0.019862631525493807,0.17176238141783398,0.14156869279893552,0.9926987328991237,0.4112774072080834,0.4039960360649728,0.3867610230400662,0.4038393282933707,0.08502623647663231,0.21258252274964662,0.9102178631046693,0.7695934905289897,0.34768306859667736,0.517169666735569,0.7473081215379557,0.3808301358753368,0.9598717084551556,0.484996963978747,0.39464278479352816,0.9664356786179317,0.03835984533743412,0.017793080089171534,0.39264651609657997,0.3336500038126386,0.3861086513122734,0.16505683737337046,0.47896207659439993,0.4760364012137378,0.4640690385020121
shape2D_Sphericity,0.4822076388865753,0.5222599036367858,0.5158163417606494,0.29116618118399223,0.2339677614831822,0.6182552628585924,0.22467669611116664,0.2911661277136093,1.0,0.056852938078332194,0.19167471114291332,0.2921559651749282,0.06365265751181974,0.28479467970060185,0.012192283428350431,0.2405522828034854,0.27950942420572555,0.12571694770944555,0.13392304467641694,0.2695184987203408,0.2981456554952717,0.2851084872029716,0.12592542218442618,0.2921559651749282,0.07085888357953804,0.30071483277716954,0.05508422126094736,0.2596132507660815,0.20591059883357143,0.41183621020560757,0.3179598299456919,0.4096928182771801,0.4039594075209149,0.41377877132335383,0.3961958957253102,0.3915163245824591,0.41146919726422326,0.4078793499337916,0.326345926081051,0.29389310264607954,0.38928952357784474,0.004194342556242421,0.19598673886628173,0.28687367646942546,0.4092318042494491,0.18906619871590574,0.0032162108656361285,0.0568630072984169,0.03486122972895569,0.19948897549515987,0.07468119128607596,0.01884597210074006,0.011701760920949687,0.36969109691200136,0.3459819648249595,0.3451922400663256,0.015930665829396895,0.17858784593849483,0.39184803299718174,0.38590816953814255,0.1964487137137771,0.118092027607425,0.25911903012549864,0.3869175066459456,0.36451410016391694,0.22587919967566042,0.07187046779152748,0.03234149994058033,0.015571220306976519,0.38099581303939917,0.20692923669738233,0.14314679820639303,0.015642359753940818,0.08699884275047776,0.2573534664413389,0.3849058788047248,0.38396817666557337,0.3816372225041806,0.38275303970263014,0.050541506963708016,0.05181671354186866,0.18474781328064827,0.14673783744953459,0.4326958488251061,0.3369281626563115,0.10709721463756608,0.2660692605690834,0.2001242487556063,0.394486455278563,0.3792751639340231,0.234243765190131,0.03714372194094551,0.016667317981509607,0.3758740326598402,0.355016665204898,0.3682043838304987,0.014585081217037728,0.3859898835370042,0.3988819157178267,0.25928833053356737
firstorder_10Percentile,0.07966092420902304,0.022630048650682966,0.062265037152721504,0.05244943353290086,0.08398028017422123,0.034659732830371506,0.20582410450815153,0.052448111408358956,0.056852938078332194,1.0,0.6439622125504708,0.056068613741674315,0.034214006602908936,0.1742700477781127,0.1531591610840856,0.5497293495839799,0.17043414519586264,0.8232338651270079,0.8124930621454396,0.4950813494618873,0.22256295847455282,0.17046168726048885,0.8228262778651464,0.056068613741674315,0.05545054380103937,0.0584532507945392,0.08649960993838278,0.013744243273774333,0.08389622423102197,0.21192704062412374,0.22524080298380522,0.16455528440409892,0.11244340467937221,0.211195689730349,0.08716946409989114,0.06990371775260117,0.20537612042625364,0.15303843852008853,0.04973559736885735,0.1639595593059353,0.0747810870468492,0.06980384999037464,0.029238697370329022,0.0006252615002272017,0.13953828729138218,0.07622891950010832,0.07111066221465213,0.1137604188722411,0.002327222644117467,0.04743059024667434,0.04511259164614582,0.004924083084940093,0.059547598398978774,0.00476337047119414,0.008511678000032682,0.001571215315755656,0.08880767235616796,0.066656135867392,0.10242720078577891,0.0860333371708424,0.03167079836174418,0.1149904061391765,0.08766684874246561,0.07563109413126809,0.010483844046813866,0.040745561004199196,0.052846032863389986,0.001952013323254379,0.058276582444907896,0.05050188927831938,0.05224415793890032,0.04411413489418243,0.08242672293064042,0.06212304741306935,0.06014551413358745,0.07220785340681948,0.0644969166334265,0.046736704293526714,0.06426806733084904,0.055096851510843224,0.09061997994250592,0.05533880921773239,0.1388831799855984,0.15811264967074726,0.12813382522902797,0.11191115195080334,0.1300881006345551,0.06339540377031473,0.14762713213233036,0.04467206609863438,0.038321488225307336,0.004434682242002354,0.05788969217601506,0.03177162704129421,0.01586442724745825,0.03630166275639163,0.08020804312401073,0.12471130584881746,0.06906770371777446,0.15631473031530857
