,0
shape2D_Elongation,[]
shape2D_MajorAxisLength,['shape2D_MaximumDiameter']
shape2D_MaximumDiameter,['shape2D_MajorAxisLength']
shape2D_MeshSurface,"['shape2D_PixelSurface', 'firstorder_Energy', 'firstorder_TotalEnergy', 'glrlm_RunLengthNonUniformity']"
shape2D_MinorAxisLength,[]
shape2D_Perimeter,[]
shape2D_PerimeterSurfaceRatio,[]
shape2D_PixelSurface,"['shape2D_MeshSurface', 'firstorder_Energy', 'firstorder_TotalEnergy', 'glrlm_RunLengthNonUniformity']"
shape2D_Sphericity,[]
firstorder_10Percentile,[]
firstorder_90Percentile,[]
firstorder_Energy,"['shape2D_MeshSurface', 'shape2D_PixelSurface', 'glrlm_RunLengthNonUniformity']"
firstorder_Entropy,"['firstorder_Uniformity', 'glszm_GrayLevelNonUniformityNormalized', 'glrlm_GrayLevelNonUniformityNormalized']"
firstorder_InterquartileRange,"['firstorder_MeanAbsoluteDeviation', 'firstorder_RobustMeanAbsoluteDeviation']"
firstorder_Kurtosis,[]
firstorder_Maximum,[]
firstorder_MeanAbsoluteDeviation,"['firstorder_InterquartileRange', 'firstorder_RobustMeanAbsoluteDeviation']"
firstorder_Mean,"['firstorder_Median', 'firstorder_RootMeanSquared']"
firstorder_Median,"['firstorder_Mean', 'firstorder_RootMeanSquared']"
firstorder_Minimum,[]
firstorder_Range,[]
firstorder_RobustMeanAbsoluteDeviation,"['firstorder_InterquartileRange', 'firstorder_MeanAbsoluteDeviation']"
firstorder_RootMeanSquared,"['firstorder_Mean', 'firstorder_Median']"
firstorder_Skewness,[]
firstorder_TotalEnergy,"['shape2D_MeshSurface', 'shape2D_PixelSurface', 'glrlm_RunLengthNonUniformity']"
firstorder_Uniformity,"['firstorder_Entropy', 'glszm_GrayLevelNonUniformityNormalized', 'glrlm_GrayLevelNonUniformityNormalized']"
firstorder_Variance,[]
glcm_Autocorrelation,"['glcm_JointAverage', 'glcm_SumAverage', 'glszm_HighGrayLevelZoneEmphasis', 'glrlm_HighGrayLevelRunEmphasis', 'gldm_HighGrayLevelEmphasis']"
glcm_ClusterProminence,[]
glcm_ClusterTendency,[]
glcm_Contrast,"['glcm_DifferenceAverage', 'glcm_DifferenceVariance', 'glcm_Idmn', 'glcm_Idn']"
glcm_Correlation,[]
glcm_DifferenceAverage,"['glcm_Contrast', 'glcm_DifferenceEntropy', 'glcm_DifferenceVariance', 'glcm_Idmn', 'glcm_Idn', 'gldm_DependenceNonUniformityNormalized', 'gldm_SmallDependenceEmphasis']"
glcm_DifferenceEntropy,"['glcm_DifferenceAverage', 'glcm_Id', 'glcm_Idm', 'glcm_Idn', 'glcm_InverseVariance', 'glszm_SizeZoneNonUniformityNormalized', 'glszm_SmallAreaEmphasis', 'glszm_ZonePercentage', 'glrlm_RunLengthNonUniformityNormalized', 'gldm_DependenceNonUniformityNormalized', 'gldm_SmallDependenceEmphasis']"
glcm_DifferenceVariance,"['glcm_Contrast', 'glcm_DifferenceAverage', 'glcm_Idmn', 'glcm_Idn']"
glcm_Id,"['glcm_DifferenceEntropy', 'glcm_Idm', 'glcm_InverseVariance', 'glszm_SizeZoneNonUniformityNormalized', 'glszm_SmallAreaEmphasis', 'glszm_ZonePercentage', 'glrlm_LongRunEmphasis', 'glrlm_RunLengthNonUniformityNormalized', 'glrlm_RunPercentage', 'glrlm_RunVariance', 'glrlm_ShortRunEmphasis', 'gldm_DependenceVariance', 'gldm_SmallDependenceEmphasis']"
glcm_Idm,"['glcm_DifferenceEntropy', 'glcm_Id', 'glcm_InverseVariance', 'glszm_SizeZoneNonUniformityNormalized', 'glszm_SmallAreaEmphasis', 'glszm_ZonePercentage', 'glrlm_LongRunEmphasis', 'glrlm_RunLengthNonUniformityNormalized', 'glrlm_RunPercentage', 'glrlm_RunVariance', 'glrlm_ShortRunEmphasis', 'gldm_DependenceVariance', 'gldm_LargeDependenceEmphasis', 'gldm_SmallDependenceEmphasis']"
glcm_Idmn,"['glcm_Contrast', 'glcm_DifferenceAverage', 'glcm_DifferenceVariance', 'glcm_Idn', 'gldm_DependenceNonUniformityNormalized']"
glcm_Idn,"['glcm_Contrast', 'glcm_DifferenceAverage', 'glcm_DifferenceEntropy', 'glcm_DifferenceVariance', 'glcm_Idmn', 'glszm_SizeZoneNonUniformityNormalized', 'gldm_DependenceNonUniformityNormalized', 'gldm_SmallDependenceEmphasis']"
glcm_Imc1,[]
glcm_Imc2,[]
glcm_InverseVariance,"['glcm_DifferenceEntropy', 'glcm_Id', 'glcm_Idm', 'glszm_SizeZoneNonUniformityNormalized', 'glszm_SmallAreaEmphasis', 'glszm_ZonePercentage', 'glrlm_LongRunEmphasis', 'glrlm_RunLengthNonUniformityNormalized', 'glrlm_RunPercentage', 'glrlm_RunVariance', 'glrlm_ShortRunEmphasis', 'gldm_DependenceVariance', 'gldm_LargeDependenceEmphasis', 'gldm_SmallDependenceEmphasis']"
glcm_JointAverage,"['glcm_Autocorrelation', 'glcm_SumAverage', 'glszm_HighGrayLevelZoneEmphasis', 'glrlm_HighGrayLevelRunEmphasis', 'glrlm_ShortRunHighGrayLevelEmphasis', 'gldm_HighGrayLevelEmphasis']"
glcm_JointEnergy,['glcm_MaximumProbability']
glcm_JointEntropy,[]
glcm_MCC,[]
glcm_MaximumProbability,['glcm_JointEnergy']
